,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
305,2,1,0,0,1,0,0,0,0,0,0
306,40,4,0,0,1,2,0,0,1,0,0
307,774,4,1,2,0,1,0,0,0,0,0
308,247,1,1,0,0,0,0,0,0,0,0
309,18,2,1,0,0,0,0,0,1,0,0
310,4,1,0,0,1,0,0,0,0,0,0
311,1,1,0,0,1,0,0,0,0,0,0
312,2,1,0,0,0,0,0,0,1,0,0
313,7,1,0,0,0,0,0,0,2,0,0
314,1,1,1,0,0,0,0,0,0,0,0
315,2,1,1,0,0,0,0,0,0,0,0
316,1,1,0,0,2,0,0,0,0,0,0
317,114,4,1,1,0,1,0,0,1,0,0
318,25,1,0,0,0,0,0,0,2,0,0
319,4,2,0,1,1,0,0,0,0,0,0
320,30,3,1,0,0,1,1,0,0,0,0
321,571,13,1,4,0,2,1,3,0,5,0
322,18,1,0,0,1,0,0,0,0,0,0
323,2,1,0,0,1,0,0,0,0,0,0
324,66,3,1,1,0,0,0,0,1,0,0
325,2,1,0,0,1,0,0,0,0,0,0
326,123,1,1,0,0,0,1,0,0,0,0
327,14,1,0,0,1,0,0,0,0,0,0
328,3,1,0,0,1,0,0,0,0,0,0
329,1,1,0,0,1,0,0,0,0,0,0
330,1,1,0,0,0,0,0,0,1,0,0
331,1,1,0,0,0,0,0,0,1,0,0
332,20,3,1,1,0,0,0,0,1,0,0
333,488,47,1,8,0,38,0,0,0,0,0
334,1,1,1,0,0,0,0,0,0,0,0
335,1,1,1,0,0,0,0,0,0,0,0
336,22,5,0,2,1,2,0,0,0,0,0
337,282,5,1,1,0,2,0,0,1,0,0
338,2,1,0,0,1,0,0,0,0,0,0
339,19,4,0,0,1,2,0,0,1,0,0
340,9,4,0,0,1,3,0,0,0,0,0
341,7,4,0,0,2,4,0,0,2,0,0
342,13,1,0,0,1,0,0,0,0,0,0
343,2,1,0,0,1,0,0,0,0,0,0
344,2,2,0,0,1,0,1,0,0,0,0
345,33,8,1,4,0,3,0,0,0,0,0
346,11,2,1,0,0,0,1,0,0,0,0
347,10,2,1,0,0,1,0,0,1,0,0
348,48,7,0,0,1,0,0,1,1,4,1
349,31,1,0,0,1,0,0,0,0,0,0
350,6,1,1,0,0,0,0,0,0,0,0
