,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
5216,5,4,1,0,0,2,0,0,1,0,1
5217,132,3,1,1,0,0,0,0,1,0,1
5218,628,3,0,0,1,0,1,0,0,1,1
5219,13,1,0,0,1,0,0,0,1,0,1
5220,4,1,0,0,1,0,0,0,1,0,1
5221,58,16,1,0,0,14,0,0,1,0,1
5222,19,2,1,0,0,0,0,0,1,0,1
5223,43,7,0,0,1,0,1,1,0,4,1
5224,77,5,1,0,0,0,1,1,0,2,1
5225,133,3,0,0,1,0,0,1,1,1,1
5226,104,7,1,1,0,3,1,0,0,2,1
5227,16,2,0,0,1,0,1,0,0,0,1
5228,36,5,0,0,1,1,0,1,1,2,1
5229,3,2,0,0,1,0,1,0,0,0,1
5230,5,5,0,0,1,0,0,0,1,3,1
5231,208,4,1,1,0,2,0,0,1,0,1
5232,14,1,0,0,1,0,0,0,1,0,1
5233,288,14,0,0,1,0,1,2,0,10,1
5234,175,2,1,0,0,0,1,0,0,0,1
5235,5,7,0,0,1,0,0,0,1,5,1
5236,146,11,0,0,1,0,0,1,1,8,1
5237,2952,4,1,1,0,1,1,0,0,1,1
5238,111,2,1,0,0,0,0,0,1,0,1
5239,167,38,0,0,1,1,1,3,0,32,1
5240,170,2,0,0,1,0,0,0,1,0,1
5241,138,8,1,0,0,0,0,1,1,5,1
5242,27,1,1,0,0,0,1,0,0,0,1
5243,39,2,1,0,0,0,0,1,1,0,1
5244,263,6,1,0,0,3,1,0,0,1,1
5245,106,2,0,1,1,0,0,0,1,0,1
5246,32,45,1,15,0,28,1,0,0,0,1
5247,30,2,1,0,0,0,1,0,0,0,1
5248,608,9,1,1,0,6,1,0,0,0,1
5249,100,2,1,0,0,0,1,0,0,0,1
5250,5,1,0,0,1,0,0,0,1,0,1
5251,55,9,1,1,0,6,1,0,0,0,1
5252,60,5,0,0,1,0,1,1,0,2,1
5253,391,2,1,0,0,0,1,1,0,0,1
5254,72,4,0,1,1,1,0,0,1,0,1
5255,9,2,0,0,1,1,0,0,1,0,1
5256,1731,19,1,2,0,15,0,0,1,0,1
5257,4,2,0,1,1,0,0,0,1,0,1
5258,4,2,1,0,0,0,0,0,1,0,1
5259,22,5,0,0,1,0,0,0,1,3,1
5260,2952,4,1,1,0,1,1,0,0,1,1
5261,51,8,0,0,1,0,1,2,0,4,1
5262,183,27,1,0,0,5,1,1,0,19,1
5263,104,3,1,0,0,2,1,0,0,0,1
5264,3,2,0,0,1,0,1,0,0,0,1
5265,1573,22,1,0,0,0,1,1,0,19,1
5266,336,5,0,0,1,0,1,0,0,3,1
5267,25,2,1,0,0,0,1,0,0,0,1
5268,56,1,1,0,0,0,1,0,0,0,1
5269,4,1,0,0,1,0,0,0,1,0,1
5270,180,2,0,0,1,0,1,0,0,0,1
5271,12,5,0,1,1,3,0,0,1,0,1
5272,599,33,0,0,2,64,0,0,2,0,1
5273,191,21,1,0,0,0,0,3,1,17,1
5274,12,3,1,0,0,2,1,0,0,0,1
5275,35,1,1,0,0,0,1,0,0,0,1
5276,30,3,0,0,1,0,1,0,0,1,1
5277,144,9,1,0,0,7,0,0,1,0,1
5278,16,3,0,0,1,0,1,0,0,1,1
5279,14,2,1,0,0,1,1,0,0,0,1
5280,49,2,1,0,0,0,0,0,1,0,1
5281,270,1,1,0,0,0,1,0,0,0,1
5282,290,5,0,1,1,0,1,0,0,4,1
5283,142,9,0,2,1,5,0,0,1,0,1
5284,159,1,1,0,0,0,1,0,0,0,1
5285,100,1,1,0,0,0,1,0,0,0,1
5286,3,1,1,0,0,0,1,0,0,0,1
5287,17,2,0,0,1,0,1,0,0,0,1
5288,91,1,1,0,0,0,1,0,0,0,1
5289,65,3,1,1,0,0,1,0,0,1,1
5290,1296,6,1,1,0,4,1,0,0,1,1
5291,38111,37,0,0,1,4,1,2,0,32,1
5292,229,15,0,0,1,0,0,1,1,12,1
5293,73,27,0,0,1,0,1,1,0,24,1
5294,58,7,0,2,1,3,0,0,1,0,1
5295,45,42,0,0,1,0,1,0,0,40,1
5296,102,2,0,0,1,0,1,0,0,1,1
5297,8,7,0,0,1,0,0,1,1,5,1
5298,108,2,1,0,0,0,0,0,1,0,1
5299,289,2,1,0,0,0,1,0,0,0,1
5300,448,3,1,0,0,2,1,0,0,0,1
5301,518,4,0,0,1,0,0,0,1,3,1
5302,141,2,1,0,0,0,1,0,0,0,1
5303,791,32,0,1,1,30,0,0,1,0,1
5304,75,3,1,0,0,1,1,0,0,2,1
5305,211,14,0,0,1,0,1,3,0,9,1
5306,57,31,0,0,1,2,0,5,1,23,1
5307,35,45,1,17,0,26,1,0,0,0,1
5308,1,2,0,0,1,0,1,0,0,0,1
5309,2,2,0,0,1,0,0,0,1,0,1
5310,234,6,1,0,0,5,0,0,1,0,1
5311,120,7,1,0,0,1,0,3,1,3,1
5312,137,1,1,0,0,0,1,0,0,0,1
5313,4554,16,1,0,0,0,1,5,0,10,1
5314,195,13,0,1,1,11,0,0,1,0,1
5315,1208,1,0,0,1,0,0,0,1,0,1
5316,39,3,0,0,1,0,0,0,1,1,1
5317,481,11,1,2,0,0,0,3,1,6,1
5318,41,3,1,0,0,2,1,0,0,0,1
5319,1449,68,0,0,1,0,1,3,0,63,1
5320,387,3,1,0,0,2,1,0,0,1,1
