,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
405,2629,111,1,4,0,106,0,0,0,0,0
406,55,8,0,0,1,0,1,0,0,6,0
407,6,3,0,0,1,1,0,0,1,0,0
408,31,1,0,0,0,0,0,0,1,0,0
409,6,1,1,0,0,0,0,0,0,0,0
410,2,1,0,0,2,0,0,0,0,0,0
411,97,12,0,1,1,10,0,0,0,0,0
412,5,3,1,0,0,1,0,0,1,0,0
413,2,2,0,0,1,0,0,0,1,0,0
414,37,2,1,0,0,0,1,0,0,0,0
415,1312,4,1,1,0,1,0,0,1,0,0
416,56,3,0,0,2,4,0,0,0,0,0
417,20,6,1,0,0,0,0,0,1,4,0
418,1,1,0,0,1,0,0,0,0,0,0
419,94,36,0,0,0,0,1,8,0,27,0
420,4358,6,1,2,0,3,0,0,0,0,0
421,4,1,0,0,1,0,0,0,0,0,0
422,62,2,0,0,1,1,0,0,1,0,0
423,41,8,0,0,1,6,0,0,1,0,0
424,3,2,0,1,1,0,0,0,0,0,0
425,131,2,1,0,0,1,0,0,0,0,0
426,6,1,1,0,0,0,0,0,0,0,0
427,1,1,0,0,2,0,0,0,0,0,0
428,1,1,0,0,0,0,0,0,2,0,0
429,445,19,1,3,0,14,0,0,1,0,0
430,3,1,0,0,1,0,0,0,1,0,0
431,120,5,1,1,0,2,0,0,1,0,0
432,4,1,0,0,0,0,1,0,0,0,0
433,3,1,1,0,0,0,0,0,0,0,0
434,1,1,0,0,1,0,0,0,0,0,0
435,1,1,0,0,0,0,0,0,1,0,0
436,16,2,0,0,1,0,1,0,0,0,0
437,4,1,0,0,1,0,0,0,0,0,0
438,953,2,1,0,0,0,1,0,0,0,0
439,9,3,1,0,0,1,1,0,0,0,0
440,56,16,0,1,1,13,0,0,1,0,0
441,1,1,0,0,1,0,0,0,0,0,0
442,3,1,0,0,0,0,0,0,1,0,0
443,9,2,1,0,0,0,0,0,1,0,0
444,1114,44,1,0,0,42,0,0,1,0,0
445,2,1,0,0,1,0,0,0,0,0,0
446,1,1,0,0,1,0,0,0,0,0,0
447,110,2,1,0,0,0,1,0,0,0,0
448,2,2,0,0,1,0,0,0,1,0,0
449,27,1,0,0,1,0,0,0,0,0,0
450,99,9,0,0,2,16,0,0,2,0,0
451,76,20,0,0,0,0,1,1,0,18,0
452,44,2,1,0,0,0,0,0,1,0,0
453,15,2,0,0,1,0,0,0,1,0,0
454,1,1,1,0,0,0,0,0,0,0,0
455,21,6,1,1,0,3,0,0,1,0,0
456,1487,13,0,0,0,0,1,3,0,9,0
457,10,1,0,0,0,0,0,0,1,0,0
458,3,1,0,0,1,0,0,0,0,0,0
459,115,2,1,0,0,0,1,0,0,0,0
460,15,3,0,1,1,0,1,0,0,0,0
461,2,2,0,0,1,0,0,0,1,0,0
462,3,2,1,0,0,0,0,0,1,0,0
463,2,2,0,0,1,0,0,0,1,0,0
464,40,4,0,0,1,2,0,0,1,0,0
465,44,1,0,0,0,0,1,0,0,0,0
466,6,5,0,0,2,6,0,0,2,0,0
467,8,3,0,0,1,1,0,0,1,0,0
468,4,2,0,0,1,0,0,0,1,0,0
469,22,2,1,0,0,1,0,0,0,0,0
470,12,2,1,0,0,1,0,0,0,0,0
471,5,1,0,0,1,0,0,0,0,0,0
472,2,3,1,0,0,2,0,0,0,0,0
473,16,2,1,0,0,0,1,0,0,0,0
474,1290,25,1,1,0,23,1,1,0,0,0
475,1,1,0,0,1,0,0,0,0,0,0
476,1,1,0,0,0,0,1,0,0,0,0
477,150,3,0,0,2,2,0,0,2,0,0
478,6,1,0,0,1,0,0,0,0,0,0
479,31,3,0,0,1,0,0,0,1,1,0
480,7,4,0,1,1,2,0,0,0,0,0
481,5,1,0,0,0,0,1,0,0,0,0
482,3,2,0,0,2,0,0,0,2,0,0
483,1,1,0,0,1,0,0,0,0,0,0
484,4,1,0,0,1,0,0,0,0,0,0
485,2,1,0,0,1,0,0,0,0,0,0
486,66,3,1,0,0,1,0,0,1,0,0
487,2,1,1,0,0,0,0,0,0,0,0
488,11,5,0,0,2,6,0,0,2,0,0
489,39,4,1,1,0,1,1,0,0,0,0
490,29,9,0,1,1,7,0,0,0,0,0
491,8,3,0,0,0,0,0,0,1,2,0
492,1,1,0,0,1,0,0,0,0,0,0
493,2,2,1,0,0,0,0,0,1,0,0
494,2,1,1,0,0,0,0,0,0,0,0
495,6,1,0,0,1,0,0,0,0,0,0
496,1,1,0,0,0,0,0,0,1,0,0
497,11,3,1,0,0,0,0,1,1,0,0
498,1,1,0,0,1,0,0,0,0,0,0
499,37,6,0,0,0,0,1,2,0,3,0
500,1,1,0,0,1,0,0,0,0,0,0
501,21,7,0,0,2,12,0,0,2,0,0
502,28,4,0,0,1,3,0,0,1,0,0
503,10,2,1,0,0,0,0,0,1,0,0
504,1,1,0,0,1,0,0,0,0,0,0
505,17,11,1,1,0,9,0,0,0,0,0
506,2,1,0,0,1,0,0,0,0,0,0
507,1,1,0,0,1,0,0,0,0,0,0
508,1,1,1,0,0,0,0,0,0,0,0
509,2,2,1,0,0,0,0,0,1,0,0
510,2,1,0,0,1,0,0,0,0,0,0
511,3,2,0,0,1,0,0,0,1,0,0
512,73,6,1,2,0,3,0,0,0,0,0
513,21,2,0,0,1,0,1,0,0,0,0
514,2,1,0,0,1,0,0,0,0,0,0
515,1,1,0,0,1,0,0,0,0,0,0
516,1,1,1,0,0,0,0,0,0,0,0
